ts,host_mem_total_bytes,host_mem_used_bytes,host_mem_available_bytes,server_rss_kib,server_vsz_kib
2026-05-21T08:50:44Z,133975171072,18572840960,115402330112,1382924,9656620
2026-05-21T08:50:45Z,133975171072,18572808192,115402362880,1382924,9656620
2026-05-21T08:50:46Z,133975171072,18572800000,115402371072,1382924,9656620
2026-05-21T08:50:47Z,133975171072,18573058048,115402113024,1382924,9656620
2026-05-21T08:50:48Z,133975171072,18573058048,115402113024,1382924,9656620
2026-05-21T08:50:49Z,133975171072,18212864000,115762307072,1382924,9656620
2026-05-21T08:50:50Z,133975171072,18342727680,115632443392,1382924,9656620
2026-05-21T08:50:51Z,133975171072,18409545728,115565625344,1382924,9656620
2026-05-21T08:50:52Z,133975171072,18589966336,115385204736,1382924,9656620
2026-05-21T08:50:53Z,133975171072,18590158848,115385012224,1382924,9656620
2026-05-21T08:50:54Z,133975171072,18587811840,115387359232,1382924,9656620
2026-05-21T08:50:55Z,133975171072,18585972736,115389198336,1382924,9656620
2026-05-21T08:50:56Z,133975171072,18584018944,115391152128,1382924,9656620
2026-05-21T08:50:57Z,133975171072,18581692416,115393478656,1382924,9656620
2026-05-21T08:50:58Z,133975171072,18579546112,115395624960,1382924,9656620
2026-05-21T08:50:59Z,133975171072,18578497536,115396673536,1382924,9656620
2026-05-21T08:51:00Z,133975171072,18576883712,115398287360,1382924,9656620
2026-05-21T08:51:01Z,133975171072,18575486976,115399684096,1382924,9656620
2026-05-21T08:51:02Z,133975171072,18574647296,115400523776,1382924,9656620
2026-05-21T08:51:03Z,133975171072,18573570048,115401601024,1382924,9656620
2026-05-21T08:51:04Z,133975171072,18572636160,115402534912,1382924,9656620
2026-05-21T08:51:05Z,133975171072,18571919360,115403251712,1382924,9656620
2026-05-21T08:51:06Z,133975171072,18571403264,115403767808,1382924,9656620
2026-05-21T08:51:07Z,133975171072,18570694656,115404476416,1382924,9656620
2026-05-21T08:51:08Z,133975171072,18571116544,115404054528,1382924,9656620
2026-05-21T08:51:09Z,133975171072,18571431936,115403739136,1382924,9656620
2026-05-21T08:51:10Z,133975171072,18570518528,115404652544,1382924,9656620
2026-05-21T08:51:11Z,133975171072,18570244096,115404926976,1382924,9656620
2026-05-21T08:51:12Z,133975171072,18570002432,115405168640,1382924,9656620
2026-05-21T08:51:13Z,133975171072,18569187328,115405983744,1382928,9656620
2026-05-21T08:51:14Z,133975171072,18569015296,115406155776,1382928,9656620
2026-05-21T08:51:16Z,133975171072,18568855552,115406315520,1382928,9656620
2026-05-21T08:51:17Z,133975171072,18568855552,115406315520,1382928,9656620
2026-05-21T08:51:18Z,133975171072,18568744960,115406426112,1382928,9656620
2026-05-21T08:51:19Z,133975171072,18568740864,115406430208,1382956,9656620
2026-05-21T08:51:20Z,133975171072,18568712192,115406458880,1382956,9656620
2026-05-21T08:51:21Z,133975171072,18568712192,115406458880,1382956,9656620
2026-05-21T08:51:22Z,133975171072,18568712192,115406458880,1382956,9656620
2026-05-21T08:51:23Z,133975171072,18568712192,115406458880,1382956,9656620
2026-05-21T08:51:24Z,133975171072,18568712192,115406458880,1382956,9656620
2026-05-21T08:51:25Z,133975171072,18568712192,115406458880,1382960,9656620
2026-05-21T08:51:26Z,133975171072,18568675328,115406495744,1382960,9656620
2026-05-21T08:51:27Z,133975171072,18568675328,115406495744,1382960,9656620
2026-05-21T08:51:28Z,133975171072,18568675328,115406495744,1382960,9656620
2026-05-21T08:51:29Z,133975171072,18568933376,115406237696,1382960,9656620
2026-05-21T08:51:30Z,133975171072,18568900608,115406270464,1382960,9656620
2026-05-21T08:51:31Z,133975171072,18248806400,115726364672,1382960,9656620
2026-05-21T08:51:32Z,133975171072,18350010368,115625160704,1382960,9656620
2026-05-21T08:51:33Z,133975171072,18433220608,115541950464,1382960,9656620
2026-05-21T08:51:34Z,133975171072,18602754048,115372417024,1382960,9656620
2026-05-21T08:51:35Z,133975171072,18602012672,115373158400,1382960,9656620
2026-05-21T08:51:36Z,133975171072,18601390080,115373780992,1382960,9656620
2026-05-21T08:51:37Z,133975171072,18777948160,115197222912,1382960,9656620
2026-05-21T08:51:38Z,133975171072,18778914816,115196256256,1382960,9656620
2026-05-21T08:51:39Z,133975171072,18959523840,115015647232,1382960,9656620
2026-05-21T08:51:40Z,133975171072,18959540224,115015630848,1382964,9656620
2026-05-21T08:51:41Z,133975171072,18959527936,115015643136,1382964,9656620
2026-05-21T08:51:42Z,133975171072,18959527936,115015643136,1382964,9656620
2026-05-21T08:51:43Z,133975171072,18959527936,115015643136,1382964,9656620
2026-05-21T08:51:44Z,133975171072,18959360000,115015811072,1382964,9656620
2026-05-21T08:51:45Z,133975171072,18959069184,115016101888,1382964,9656620
2026-05-21T08:51:46Z,133975171072,18958979072,115016192000,1382964,9656620
2026-05-21T08:51:47Z,133975171072,18958471168,115016699904,1382964,9656620
2026-05-21T08:51:48Z,133975171072,18958200832,115016970240,1382964,9656620
2026-05-21T08:51:49Z,133975171072,18956025856,115019145216,1382964,9656620
2026-05-21T08:51:50Z,133975171072,18953486336,115021684736,1382964,9656620
2026-05-21T08:51:51Z,133975171072,18951135232,115024035840,1382964,9656620
2026-05-21T08:51:52Z,133975171072,18947293184,115027877888,1382964,9656620
2026-05-21T08:51:53Z,133975171072,18945392640,115029778432,1382968,9656620
2026-05-21T08:51:54Z,133975171072,18946084864,115029086208,1382968,9656620
2026-05-21T08:51:55Z,133975171072,18944815104,115030355968,1382968,9656620
2026-05-21T08:51:56Z,133975171072,18943311872,115031859200,1382968,9656620
2026-05-21T08:51:57Z,133975171072,18942967808,115032203264,1382968,9656620
2026-05-21T08:51:58Z,133975171072,18941968384,115033202688,1382968,9656620
2026-05-21T08:51:59Z,133975171072,18941009920,115034161152,1382968,9656620
2026-05-21T08:52:00Z,133975171072,18941095936,115034075136,1382968,9656620
2026-05-21T08:52:01Z,133975171072,18939707392,115035463680,1382968,9656620
2026-05-21T08:52:02Z,133975171072,18939719680,115035451392,1382968,9656620
